Character,script,bold,italic
A,𝒜,𝐀,𝐴
B,ℬ,𝐁,𝐵
C,𝒞,𝐂,𝐶
D,𝒟,𝐃,𝐷
E,ℰ,𝐄,𝐸
F,ℱ,𝐅,𝐹
G,𝒢,𝐆,𝐺
H,𝒣,𝐇,𝐻
I,ℐ,𝐈,𝐼
J,𝒥,𝐉,𝐽
K,𝒦,𝐊,𝐾
L,ℒ,𝐋,𝐿
M,ℳ,𝐌,𝑀
N,𝒩,𝐍,𝑁
O,𝒪,𝐎,𝑂
P,𝒫,𝐏,𝑃
Q,𝒬,𝐐,𝑄
R,ℛ,𝐑,𝑅
S,𝒮,𝐒,𝑆
T,𝒯,𝐓,𝑇
U,𝒰,𝐔,𝑈
V,𝒱,𝐕,𝑉
W,𝒲,𝐖,𝑊
X,𝒳,𝐗,𝑋
Y,𝒴,𝐘,𝑌
Z,𝒵,𝐙,𝑍
a,𝒶,𝐚,𝑎
b,𝒷,𝐛,𝑏
c,𝒸,𝐜,𝑐
d,𝒹,𝐝,𝑑
e,ℯ,𝐞,𝑒
f,𝒻,𝐟,𝑓
g,ℊ,𝐠,𝑔
h,𝒽,𝐡,ℎ
i,𝒾,𝐢,𝑖
j,𝒿,𝐣,𝑗
k,𝓀,𝐤,𝑘
l,𝓁,𝐥,𝑙
m,𝓂,𝐦,𝑚
n,𝓃,𝐧,𝑛
o,ℴ,𝐨,𝑜
p,𝓅,𝐩,𝑝
q,𝓆,𝐪,𝑞
r,𝓇,𝐫,𝑟
s,𝓈,𝐬,𝑠
t,𝓉,𝐭,𝑡
u,𝓊,𝐮,𝑢
v,𝓋,𝐯,𝑣
w,𝓌,𝐰,𝑤
x,𝓍,𝐱,𝑥
y,𝓎,𝐲,𝑦
z,𝓏,𝐳,𝑧
0,𝟢,𝟎,0
1,𝟣,𝟏,1
2,𝟤,𝟐,2
3,𝟥,𝟑,3
4,𝟦,𝟒,4
5,𝟧,𝟓,5
6,𝟨,𝟔,6
7,𝟩,𝟕,7
8,𝟪,𝟖,8
9,𝟫,𝟗,9
